development-186	True	False
development-187	False	True
development-188	False	True
development-189	False	True
development-190	True	False
development-191	False	False
development-192	False	True
development-193	False	True
development-194	False	False
development-195	False	True
development-196	True	False
development-197	True	False
development-198	False	True
development-199	True	False
development-200	False	True
development-201	False	False
development-202	True	False
development-203	True	False
development-204	True	False
development-205	False	False
development-206	True	False
development-207	False	True
development-208	True	True
development-209	False	True
development-210	False	True
development-211	False	True
development-212	False	True
development-213	False	True
development-214	True	False
development-215	False	True
development-216	False	True
development-217	True	False
development-218	False	False
development-219	True	True
development-220	False	True
development-221	False	True
development-222	True	False
development-223	True	False
development-224	True	False
development-225	True	False
development-226	True	False
development-227	False	False
development-228	True	False
development-229	True	False
development-230	False	True
development-231	False	True
development-232	False	True
development-233	False	True
development-234	False	False
development-235	True	True
development-236	True	False
development-237	False	True
development-238	True	True
development-239	True	False
development-240	False	False
development-241	False	True
development-242	True	True
development-243	False	True
development-244	True	False
development-245	False	False
development-246	False	True
development-247	True	False
development-248	False	True
development-249	False	True
development-250	False	True
development-251	False	True
development-252	True	False
development-253	True	False
development-254	False	False
development-255	False	False
development-256	False	False
development-257	False	True
development-258	False	True
development-259	True	True
development-260	True	False
development-261	False	True
development-262	False	True
development-263	False	True
development-264	True	False
development-265	True	False
development-266	True	False
development-267	False	True
development-268	True	True
development-269	False	True
development-270	False	False
development-271	True	False
development-272	False	True
development-273	False	True
development-274	False	True
development-275	False	False
development-276	False	True
development-277	True	False
development-278	True	False
development-279	True	False
development-280	False	False
development-281	False	True
development-282	False	True
development-283	False	True
development-284	False	True
development-285	True	False
development-286	False	False
development-287	True	False
development-288	True	True
development-289	True	False
development-290	False	True
development-291	False	True
development-292	False	False
development-293	False	True
development-294	False	False
development-295	False	False
development-296	False	False
development-297	True	False
development-298	True	False
development-299	True	False
development-300	True	False
development-301	False	True
development-302	True	False
development-303	True	False
development-304	True	False
development-305	True	False
development-306	False	True
development-307	False	False
development-308	True	False
development-309	True	False
development-310	True	False
development-311	True	False
development-312	True	False
development-313	False	True
development-314	True	False
development-315	True	False
development-316	True	False
development-317	False	True
development-318	False	True
development-319	True	False
development-320	False	True
development-321	True	False
development-322	False	True
development-323	False	True
development-324	True	False
development-325	False	False
development-326	False	True
development-327	True	False
development-328	False	False
development-329	False	True
development-330	True	False
development-331	True	False
development-332	False	False
development-333	False	False
development-334	True	False
development-335	False	False
development-336	False	False
development-337	False	False
development-338	True	False
development-339	False	False
development-340	True	True
development-341	False	False
development-342	False	False
development-343	True	False
development-344	False	True
development-345	True	False
development-346	False	False
development-347	True	False
development-348	False	False
development-349	False	False
development-350	False	False
development-351	True	False
development-352	True	False
development-353	False	True
development-354	False	True
development-355	True	False
development-356	True	False
development-357	True	False
development-358	False	True
development-359	True	True
development-360	True	False
development-361	False	True
development-362	False	True
development-363	True	False
development-364	True	False
development-365	True	False
development-366	False	False
development-367	True	False
development-368	True	False
development-369	False	False
development-370	False	True
development-371	True	False
development-372	False	False
development-373	True	True
development-374	False	False
development-375	False	False
development-376	False	False
development-377	True	False
development-378	False	False
development-379	False	True
development-380	True	False
development-381	True	False
development-382	True	True
development-383	True	False
development-384	False	False
development-385	True	False
development-386	True	False
development-387	True	False
development-388	True	False
development-389	True	False
development-390	True	False
development-391	True	False
development-392	True	False
development-393	False	True
development-394	False	True
development-395	False	False
development-396	False	True
development-397	False	True
development-398	False	False
development-399	True	False
development-400	False	False
development-401	True	False
development-402	False	False
development-403	False	False
development-404	True	False
development-405	False	False
development-406	True	False
development-407	True	False
development-408	True	False
development-409	True	False
development-410	True	False
development-411	True	False
development-412	True	False
development-413	False	False
development-414	False	False
development-415	False	True
development-416	True	True
development-417	True	False
development-418	False	True
development-419	True	False
development-420	True	False
development-421	True	True
development-422	True	False
development-423	False	True
development-424	True	False
development-425	True	False
development-426	False	True
development-427	False	False
development-428	True	False
development-429	True	False
development-430	False	False
development-431	True	True
development-432	True	True
development-433	True	False
development-434	True	False
development-435	False	True
development-436	False	True
development-437	True	False
development-438	False	True
development-439	True	False
development-440	False	True
development-441	True	False
development-442	True	False
development-443	False	False
development-444	False	True
development-445	False	True
development-446	True	False
development-447	True	False
development-448	True	True
development-449	True	False
development-450	True	False
development-451	False	True
development-452	False	False
development-453	False	False
development-454	True	True
development-455	True	True
development-456	True	False
development-457	True	False
development-458	False	True
development-459	False	True
development-460	True	False
development-461	False	True
development-462	True	False
development-463	True	True
development-464	False	True
development-465	False	True
development-466	True	False
development-467	False	False
development-468	False	False
development-469	True	False
development-470	False	True
development-471	True	False
development-472	True	False
development-473	False	True
development-474	False	True
development-475	False	True
development-476	False	False
development-477	True	False
development-478	True	True
development-479	True	True
development-480	True	False
development-481	False	True
development-482	True	False
development-483	True	False
development-484	True	False
development-485	False	False
development-486	True	False
development-487	False	False
development-488	True	False
development-489	True	False
development-490	False	True
development-491	False	True
development-492	True	False
development-493	True	True
development-494	False	True
development-495	False	True
development-496	False	True
development-497	False	True
development-498	False	True
development-499	False	False
development-500	False	False
development-501	False	False
development-502	True	False
development-503	True	False
development-504	False	True
development-505	False	False
development-506	True	False
development-507	False	True
development-508	False	True
development-509	False	True
development-510	False	False
development-511	False	True
development-512	False	False
development-513	True	False
development-514	False	False
development-515	False	False
development-516	True	True
development-517	False	True
development-518	False	True
development-519	True	False
development-520	False	True
development-521	True	False
development-522	True	False
development-523	True	False
development-524	False	True
development-525	True	True
development-526	True	False
development-527	False	True
development-528	True	False
development-529	False	False
development-530	False	False
development-531	False	True
development-532	False	False
development-533	False	True
development-534	False	True
development-535	False	False
development-536	False	True
development-537	False	True
development-538	True	True
development-539	False	True
development-540	True	True
development-541	False	False
development-542	True	False
development-543	True	False
development-544	True	False
development-545	False	True
development-546	True	False
development-547	False	True
development-548	False	False
development-549	False	False
development-550	True	False
development-551	False	True
development-552	True	False
development-553	True	False
development-554	False	True
development-555	True	False
development-556	True	False
development-557	True	False
development-558	False	False
development-559	False	True
development-560	True	False
development-561	True	True
development-562	True	False
development-563	False	True
development-564	True	False
development-565	False	False
development-566	True	False
development-567	False	True
development-568	False	True
development-569	False	True
development-570	True	False
development-571	False	True
development-572	False	True
development-573	False	True
development-574	False	True
development-575	False	True
development-576	False	True
development-577	False	True
development-578	False	True
development-579	False	True
development-580	True	False
development-581	True	True
development-582	False	False
development-583	True	True
development-584	True	False
development-585	False	False
development-586	True	False
development-587	True	False
development-588	True	False
development-589	True	False
development-590	False	False
development-591	True	False
development-592	True	False
development-593	True	True
development-594	True	False
development-595	False	True
development-596	False	True
development-597	False	True
development-598	True	False
development-599	True	False
development-600	True	False
development-601	True	False
development-602	True	False
development-603	False	True
development-604	True	False
development-605	False	True
development-606	False	True
development-607	True	True
development-608	False	True
development-609	False	True
development-610	False	True
development-611	True	False
development-612	True	False
development-613	True	False
development-614	True	False
development-615	False	True
development-616	True	True
development-617	True	False
development-618	True	True
development-619	True	False
development-620	False	False
development-621	False	True
development-622	False	True
development-623	True	False
development-624	False	True
development-625	True	False
development-626	True	True
development-627	False	True
development-628	True	False
development-629	True	False
development-630	True	True
development-631	False	True
development-632	True	False
development-633	False	False
development-634	False	True
development-635	True	True
development-636	False	True
development-637	False	False
development-638	False	False
development-639	True	False
development-640	True	False
development-641	False	True
development-642	True	False
development-643	True	True
development-644	True	True
development-645	True	False
development-646	False	True
development-647	True	False
development-648	True	False
development-649	True	False
development-650	False	True
development-651	False	True
development-652	False	True
development-653	True	False
development-654	True	False
development-655	False	True
development-656	True	True
development-657	False	False
development-658	False	True
development-659	True	True
development-660	True	True
development-661	False	True
development-662	False	False
development-663	False	False
development-664	True	False
development-665	False	True
development-666	True	False
development-667	False	False
development-668	False	False
development-669	False	False
development-670	False	True
development-671	False	True
development-672	False	True
development-673	True	False
development-674	True	False
development-675	False	True
development-676	False	False
development-677	True	False
development-678	False	False
development-679	True	True
development-680	True	True
development-681	False	True
development-682	True	False
development-683	False	True
development-684	True	False
development-685	False	False
development-686	True	False
development-687	False	True
development-688	True	False
development-689	True	False
development-690	True	False
development-691	True	False
development-692	True	False
development-693	False	False
development-694	True	False
development-695	False	True
development-696	True	False
development-697	False	False
development-698	False	True
development-699	True	False
development-700	False	True
development-701	True	False
development-702	False	True
development-703	True	False
development-704	False	True
development-705	True	False
development-706	False	True
development-707	True	True
development-708	False	True
development-709	True	True
development-710	True	False
development-711	False	False
development-712	True	False
development-713	False	True
development-714	False	True
development-715	False	True
development-716	True	False
development-717	True	False
development-718	False	True
development-719	True	True
development-720	False	True
development-721	False	False
development-722	False	True
development-723	False	True
development-724	False	True
development-725	True	False
development-726	False	True
development-727	True	False
development-728	True	True
development-729	False	True
development-730	True	False
development-731	True	False
development-732	True	True
development-733	False	False
development-734	False	False
development-735	True	False
development-736	True	False
development-737	False	True
development-738	True	False
development-739	True	False
development-740	True	False
development-741	False	False
development-742	False	True
development-743	False	True
development-744	False	True
development-745	False	True
development-746	False	False
development-747	True	False
development-748	False	True
development-749	False	True
development-750	True	False
development-751	True	False
development-752	False	True
development-753	False	True
development-754	False	False
development-755	True	False
development-756	False	True
development-757	True	False
development-758	False	True
development-759	False	False
development-760	True	False
development-761	False	True
development-762	False	False
development-763	False	True
development-764	False	True
development-765	False	True
development-766	False	True
development-767	True	False
development-768	True	False
development-769	True	True
development-770	True	False
development-771	False	False
development-772	False	True
development-773	True	True
development-774	True	False
development-775	True	False
development-776	True	False
development-777	True	True
development-778	True	True
development-779	True	False
development-780	False	True
development-781	True	False
development-782	False	True
development-783	False	True
development-784	True	False
development-785	False	False
development-786	False	True
development-787	False	False
development-788	True	False
development-789	True	False
development-790	True	False
development-791	False	False
development-792	False	True
development-793	True	False
development-794	False	True
development-795	True	False
development-796	False	False
development-797	True	True
development-798	False	True
development-799	True	True
development-800	False	True
development-801	True	False
development-802	True	True
development-803	True	False
development-804	True	True
development-805	True	False
development-806	False	False
development-807	False	False
development-808	False	True
development-809	True	False
development-810	False	True
development-811	False	True
development-812	True	False
development-813	True	False
development-814	False	True
development-815	False	False
development-816	False	False
development-817	False	True
development-818	False	True
development-819	True	False
development-820	False	True
development-821	True	False
development-822	False	True
development-823	True	False
development-824	True	False
development-825	False	True
development-826	False	False
development-827	False	True
development-828	False	True
development-829	False	True
development-830	True	False
development-831	False	True
development-832	True	False
development-833	True	True
development-834	True	True
development-835	False	True
development-836	True	False
development-837	True	True
development-838	False	True
development-839	False	False
development-840	True	False
development-841	True	False
development-842	True	False
development-843	True	False
development-844	False	False
development-845	False	True
development-846	True	False
development-847	False	True
development-848	False	False
development-849	False	False
development-850	True	False
development-851	True	False
development-852	True	False
development-853	False	True
development-854	False	False
development-855	True	False
development-856	True	True
development-857	False	True
development-858	False	True
development-859	False	True
development-860	False	False
development-861	True	False
development-862	False	False
development-863	True	False
development-864	True	False
development-865	False	False
development-866	False	True
development-867	True	False
development-868	True	False
development-869	False	True
development-870	True	False
development-871	False	False
development-872	True	True
development-873	False	False
development-874	False	False
development-875	True	False
development-876	False	True
development-877	False	True
development-878	True	False
development-879	False	True
development-880	True	False
development-881	True	True
development-882	True	False
development-883	False	False
development-884	False	True
development-885	True	False
development-886	False	True
development-887	True	False
development-888	True	True
development-889	True	False
development-890	True	False
development-891	False	True
development-892	False	True
development-893	False	True
development-894	False	True
development-895	False	True
development-896	True	False
development-897	False	True
development-898	False	True
development-899	False	False
development-900	False	True
development-901	False	False
development-902	True	False
development-903	True	True
development-904	True	True
development-905	True	False
development-906	False	False
development-907	True	False
development-908	True	False
development-909	True	True
development-910	True	True
development-911	True	False
development-912	False	True
development-913	True	False
development-914	True	False
development-915	True	False
development-916	False	False
development-917	False	True
development-918	True	True
development-919	True	False
development-920	True	False
development-921	False	True
development-922	True	False
development-923	True	False
development-924	False	False
development-925	False	True
development-926	True	False
development-927	False	True
development-928	False	False
development-929	False	True
development-930	False	True
development-931	False	True
development-932	False	True
development-933	True	True
development-934	True	False
development-935	False	False
development-936	False	True
development-937	False	False
development-938	True	False
development-939	False	False
development-940	False	True
development-941	False	True
development-942	False	False
development-943	False	True
development-944	False	False
development-945	False	True
development-946	False	False
development-947	False	True
development-948	False	True
development-949	False	True
development-950	True	False
development-951	True	False
development-952	True	False
development-953	True	False
development-954	True	True
development-955	False	False
development-956	False	True
development-957	True	False
development-958	True	False
development-959	True	False
development-960	False	True
development-961	False	True
development-962	False	False
development-963	False	False
development-964	False	False
development-965	False	True
development-966	True	False
development-967	False	True
development-968	False	True
development-969	False	False
development-970	False	True
development-971	False	True
development-972	False	True
development-973	True	True
development-974	False	False
development-975	False	False
development-976	False	False
development-977	True	False
development-978	False	True
development-979	False	True
development-980	False	True
development-981	True	False
development-982	True	False
development-983	False	False
development-984	False	True
development-985	False	False
development-986	False	False
development-987	False	True
development-988	True	False
development-989	False	True
development-990	True	False
development-991	True	False
development-992	False	True
development-993	False	True
development-994	True	False
development-995	False	False
development-996	True	False
development-997	False	False
development-998	False	True
development-999	False	True
development-1000	True	False
development-1001	True	False
development-1002	True	False
development-1003	False	True
development-1004	True	False
development-1005	True	False
development-1006	True	False
development-1007	False	False
development-1008	False	True
development-1009	False	False
development-1010	False	True
development-1011	True	False
development-1012	False	True
development-1013	False	False
development-1014	True	False
development-1015	False	True
development-1016	True	False
development-1017	False	True
development-1018	False	True
development-1019	True	True
development-1020	True	False
development-1021	True	True
development-1022	False	True
development-1023	False	False
development-1024	False	True
development-1025	False	False
development-1026	True	False
development-1027	True	False
development-1028	False	True
development-1029	True	True
development-1030	False	False
development-1031	True	False
development-1032	True	True
development-1033	True	False
development-1034	False	True
development-1035	True	False
development-1036	False	False
development-1037	False	True
development-1038	False	True
development-1039	True	True
development-1040	False	False
development-1041	False	True
development-1042	False	True
development-1043	False	True
development-1044	False	False
development-1045	False	True
development-1046	False	False
development-1047	False	False
development-1048	True	False
development-1049	False	False
development-1050	False	True
development-1051	False	False
development-1052	False	True
development-1053	True	False
development-1054	False	False
development-1055	True	True
development-1056	True	False
development-1057	False	True
development-1058	True	True
development-1059	True	False
development-1060	False	False
development-1061	True	False
development-1062	True	True
development-1063	True	False
development-1064	True	False
development-1065	False	True
development-1066	True	False
development-1067	False	False
development-1068	False	False
development-1069	True	False
development-1070	False	True
development-1071	True	False
development-1072	False	True
development-1073	False	True
development-1074	True	False
development-1075	True	False
development-1076	False	False
development-1077	False	True
development-1078	True	False
development-1079	True	True
development-1080	True	False
development-1081	False	True
development-1082	False	False
development-1083	True	False
development-1084	True	False
development-1085	True	False
development-1086	False	False
development-1087	False	False
development-1088	True	True
development-1089	True	True
development-1090	True	False
development-1091	False	True
development-1092	False	False
development-1093	False	True
development-1094	False	True
development-1095	True	False
development-1096	False	True
development-1097	False	True
development-1098	False	False
development-1099	True	False
development-1100	True	True
development-1101	False	True
development-1102	False	True
development-1103	True	True
development-1104	False	True
development-1105	True	False
development-1106	False	True
development-1107	False	False
development-1108	True	False
development-1109	False	True
development-1110	True	False
development-1111	False	True
development-1112	False	False
development-1113	True	False
development-1114	True	False
development-1115	False	True
development-1116	True	False
development-1117	False	True
development-1118	False	True
development-1119	False	True
development-1120	False	True
development-1121	False	True
development-1122	True	False
development-1123	False	False
development-1124	False	True
development-1125	False	True
development-1126	False	False
development-1127	True	False
development-1128	False	True
development-1129	True	False
development-1130	False	True
development-1131	False	True
development-1132	True	False
development-1133	True	True
development-1134	True	False
development-1135	False	True
development-1136	True	True
development-1137	True	False
development-1138	True	False
development-1139	False	True
development-1140	True	False
development-1141	True	False
development-1142	True	False
development-1143	False	True
development-1144	False	True
development-1145	True	False
development-1146	False	True
development-1147	False	True
development-1148	True	False
development-1149	False	True
development-1150	False	True
development-1151	False	False
development-1152	True	True
development-1153	False	True
development-1154	False	True
development-1155	True	False
development-1156	False	False
development-1157	False	True
development-1158	False	True
development-1159	False	True
development-1160	True	False
development-1161	True	False
development-1162	True	False
development-1163	False	True
development-1164	False	False
development-1165	False	True
development-1166	False	False
development-1167	True	False
development-1168	False	True
development-1169	False	True
development-1170	False	False
development-1171	False	False
development-1172	False	True
development-1173	False	True
development-1174	False	False
development-1175	False	False
development-1176	True	False
development-1177	False	True
development-1178	True	False
development-1179	False	True
development-1180	True	False
development-1181	False	False
development-1182	True	True
development-1183	False	False
development-1184	False	False
development-1185	False	True
development-1186	True	False
development-1187	False	True
development-1188	True	False
development-1189	True	True
development-1190	False	True
development-1191	True	False
development-1192	True	True
development-1193	True	False
development-1194	True	False
development-1195	False	False
development-1196	True	False
development-1197	False	True
development-1198	False	False
development-1199	False	True
development-1200	True	True
development-1201	True	False
development-1202	True	False
development-1203	False	True
development-1204	False	True
development-1205	False	True
development-1206	True	False
development-1207	False	False
development-1208	False	True
development-1209	False	False
development-1210	False	False
development-1211	True	False
development-1212	True	True
development-1213	False	True
development-1214	False	True
development-1215	True	False
development-1216	True	False
development-1217	True	False
development-1218	False	True
development-1219	True	True
development-1220	False	True
development-1221	True	False
development-1222	True	True
development-1223	True	False
development-1224	False	False
development-1225	False	True
development-1226	False	True
development-1227	False	True
development-1228	False	True
development-1229	True	False
development-1230	False	True
development-1231	True	False
development-1232	False	True
development-1233	False	False
development-1234	False	True
development-1235	False	True
development-1236	False	False
development-1237	True	False
development-1238	False	False
development-1239	False	False
development-1240	False	False
development-1241	False	False
development-1242	False	False
development-1243	False	True
development-1244	False	False
development-1245	False	True
development-1246	False	False
development-1247	False	True
development-1248	True	True
development-1249	False	False
development-1250	False	False
development-1251	True	False
development-1252	False	False
development-1253	False	False
development-1254	True	False
development-1255	False	False
development-1256	False	True
development-1257	True	False
development-1258	False	False
development-1259	False	False
development-1260	False	True
development-1261	False	False
development-1262	False	False
development-1263	True	False
development-1264	False	True
development-1265	False	False
development-1266	False	True
development-1267	False	False
development-1268	True	False
development-1269	False	True
development-1270	False	False
development-1271	False	False
development-1272	False	True
development-1273	False	False
development-1274	True	False
development-1275	True	False
development-1276	True	False
development-1277	False	True
development-1278	True	True
development-1279	False	True
development-1280	True	False
development-1281	False	False
development-1282	True	False
development-1283	False	False
development-1284	True	False
development-1285	True	False
development-1286	True	False
development-1287	False	True
development-1288	True	False
development-1289	True	False
development-1290	True	False
development-1291	False	False
development-1292	False	True
development-1293	False	False
development-1294	True	True
development-1295	False	True
development-1296	False	True
development-1297	True	False
development-1298	True	False
development-1299	False	False
development-1300	False	False
development-1301	False	True
development-1302	False	True
development-1303	True	False
development-1304	False	True
development-1305	False	False
development-1306	True	True
development-1307	False	True
development-1308	False	False
development-1309	True	True
development-1310	True	False
development-1311	True	False
development-1312	True	False
development-1313	False	True
development-1314	True	True
development-1315	False	True
development-1316	False	True
development-1317	False	True
development-1318	True	False
development-1319	True	False
development-1320	False	True
development-1321	False	False
development-1322	False	False
development-1323	True	False
development-1324	False	False
development-1325	True	True
development-1326	True	False
development-1327	True	False
development-1328	True	False
development-1329	True	False
development-1330	True	True
development-1331	False	False
development-1332	False	False
development-1333	True	True
development-1334	True	False
development-1335	False	True
development-1336	True	False
development-1337	False	False
development-1338	True	False
development-1339	True	False
development-1340	False	False
development-1341	False	True
development-1342	False	True
development-1343	False	False
development-1344	True	False
development-1345	False	True
development-1346	True	False
development-1347	False	True
development-1348	False	True
development-1349	False	True
development-1350	False	True
development-1351	True	False
development-1352	False	False
development-1353	False	False
development-1354	False	False
development-1355	True	False
development-1356	True	False
development-1357	False	True
development-1358	True	False
development-1359	True	False
development-1360	False	False
development-1361	True	False
development-1362	False	True
development-1363	False	True
development-1364	True	False
development-1365	True	False
development-1366	False	False
development-1367	False	True
development-1368	False	True
development-1369	False	False
development-1370	False	True
development-1371	True	False
development-1372	False	True
development-1373	True	False
development-1374	False	True
development-1375	False	False
development-1376	True	False
development-1377	True	False
development-1378	False	False
development-1379	False	False
development-1380	True	False
development-1381	True	False
development-1382	False	True
development-1383	False	True
development-1384	False	True
development-1385	True	False
development-1386	False	True
development-1387	True	False
development-1388	False	True
development-1389	False	False
development-1390	True	True
development-1391	False	False
development-1392	False	True
development-1393	False	True
development-1394	True	False
development-1395	True	False
development-1396	True	True
development-1397	False	False
development-1398	False	True
development-1399	True	False
development-1400	True	False
development-1401	False	True
development-1402	False	False
development-1403	True	False
development-1404	True	False
development-1405	False	False
development-1406	False	True
development-1407	True	False
development-1408	False	False
development-1409	False	False
development-1410	False	True
development-1411	False	True
development-1412	True	False
development-1413	False	True
development-1414	True	False
development-1415	True	False
development-1416	True	False
development-1417	True	False
development-1418	True	False
development-1419	True	False
development-1420	False	True
development-1421	False	True
development-1422	False	True
development-1423	True	False
development-1424	False	False
development-1425	False	True
development-1426	False	False
development-1427	False	False
development-1428	False	True
development-1429	True	False
development-1430	False	True
development-1431	True	False
development-1432	True	False
development-1433	True	False
development-1434	False	True
development-1435	False	False
development-1436	False	True
development-1437	False	False
development-1438	True	False
development-1439	True	False
development-1440	False	True
development-1441	True	True
development-1442	True	False
development-1443	True	False
development-1444	False	True
development-1445	False	True
development-1446	True	False
development-1447	False	True
development-1448	True	False
development-1449	True	False
development-1450	False	False
development-1451	True	False
development-1452	False	True
development-1453	True	True
development-1454	True	False
development-1455	False	True
development-1456	False	True
development-1457	False	False
development-1458	True	True
development-1459	False	True
development-1460	False	True
development-1461	False	False
development-1462	False	False
development-1463	False	True
development-1464	False	True
development-1465	True	False
development-1466	False	False
development-1467	True	False
development-1468	True	False
development-1469	False	True
development-1470	True	False
development-1471	False	True
development-1472	True	False
development-1473	False	True
development-1474	True	True
development-1475	False	True
development-1476	False	False
development-1477	False	False
development-1478	False	True
development-1479	True	False
development-1480	False	True
development-1481	False	True
development-1482	True	False
development-1483	True	True
development-1484	False	True
development-1485	True	False
development-1486	False	True
development-1487	True	True
development-1488	True	False
development-1489	False	True
development-1490	True	True
development-1491	True	True
development-1492	False	True
development-1493	True	False
development-1494	True	True
development-1495	False	True
development-1496	False	False
development-1497	False	True
development-1498	False	True
development-1499	False	False
development-1500	False	False
development-1501	True	False
development-1502	False	True
development-1503	False	False
development-1504	True	True
development-1505	True	False
development-1506	True	True
development-1507	False	False
development-1508	False	True
development-1509	False	False
development-1510	True	False
development-1511	False	False
development-1512	False	False
development-1513	False	False
development-1514	True	False
development-1515	False	True
development-1516	False	True
development-1517	True	False
development-1518	False	False
development-1519	False	True
development-1520	True	False
development-1521	False	True
development-1522	True	False
development-1523	True	False
development-1524	False	False
development-1525	True	False
development-1526	True	False
development-1527	False	True
development-1528	False	False
development-1529	True	False
development-1530	True	False
development-1531	False	False
development-1532	False	False
development-1533	True	True
development-1534	False	True
development-1535	False	False
development-1536	False	True
development-1537	False	False
development-1538	False	True
development-1539	True	False
development-1540	False	False
development-1541	False	True
development-1542	True	False
development-1543	True	False
development-1544	True	False
development-1545	True	False
development-1546	True	False
development-1547	False	True
development-1548	True	False
development-1549	False	True
development-1550	True	True
development-1551	True	False
development-1552	False	True
development-1553	True	True
development-1554	True	False
development-1555	False	True
development-1556	True	False
development-1557	True	True
development-1558	True	True
development-1559	False	True
development-1560	False	False
development-1561	True	False
development-1562	True	False
development-1563	False	True
development-1564	False	False
development-1565	False	True
development-1566	True	True
development-1567	False	False
development-1568	True	False
development-1569	True	True
development-1570	False	True
development-1571	False	True
development-1572	False	True
development-1573	False	False
development-1574	True	False
development-1575	True	True
development-1576	False	True
development-1577	False	False
development-1578	True	False
development-1579	False	False
development-1580	True	False
development-1581	True	False
development-1582	True	False
development-1583	False	False
development-1584	False	True
development-1585	True	False
development-1586	True	True
development-1587	False	True
development-1588	True	True
development-1589	False	True
development-1590	True	False
development-1591	False	False
development-1592	False	True
development-1593	False	False
development-1594	False	True
development-1595	True	True
development-1596	True	False
development-1597	False	True
development-1598	False	True
development-1599	True	False
development-1600	False	True
development-1601	True	False
development-1602	False	True
development-1603	True	False
development-1604	True	True
development-1605	False	True
development-1606	True	False
development-1607	False	True
development-1608	True	False
development-1609	True	False
development-1610	True	True
development-1611	False	True
development-1612	False	True
development-1613	False	True
development-1614	True	False
development-1615	False	False
development-1616	True	False
development-1617	True	False
development-1618	False	True
development-1619	False	False
development-1620	True	False
development-1621	False	True
development-1622	False	True
development-1623	True	False
development-1624	False	True
development-1625	False	False
development-1626	False	False
development-1627	True	True
development-1628	True	False
development-1629	True	False
development-1630	False	True
development-1631	True	False
development-1632	False	False
development-1633	False	True
development-1634	False	False
development-1635	True	True
development-1636	True	False
development-1637	False	True
development-1638	False	True
development-1639	False	False
development-1640	True	False
development-1641	False	True
development-1642	False	False
development-1643	False	True
development-1644	False	False
development-1645	True	False
development-1646	True	False
development-1647	True	False
development-1648	False	True
development-1649	False	True
development-1650	False	True
development-1651	False	True
development-1652	True	False
development-1653	True	False
development-1654	True	False
development-1655	True	False
development-1656	False	False
development-1657	False	True
development-1658	True	False
development-1659	False	True
development-1660	False	True
development-1661	False	False
development-1662	True	False
development-1663	False	False
development-1664	True	False
development-1665	False	True
development-1666	True	False
